image_path,transcription,source,split
data/iam/iam_words/words\c03\c03-081a\c03-081a-02-05.png,be,iam,train
data/iam/iam_words/words\c03\c03-021b\c03-021b-07-07.png,looking,iam,train
data/iam/iam_words/words\c03\c03-087b\c03-087b-04-05.png,unredeemable,iam,train
data/iam/iam_words/words\a04\a04-072\a04-072-02-05.png,of,iam,train
data/iam/iam_words/words\b04\b04-066\b04-066-06-07.png,this,iam,train
data/iam/iam_words/words\d04\d04-075\d04-075-09-01.png,seventy,iam,train
data/iam/iam_words/words\a03\a03-063\a03-063-08-06.png,abandoned,iam,train
data/iam/iam_words/words\b02\b02-013\b02-013-09-03.png,basis,iam,train
data/iam/iam_words/words\d07\d07-100\d07-100-06-05.png,it,iam,train
data/iam/iam_words/words\c03\c03-016b\c03-016b-08-05.png,who,iam,train
data/iam/iam_words/words\d06\d06-104\d06-104-05-00.png,started,iam,train
data/iam/iam_words/words\c04\c04-116\c04-116-03-11.png,of,iam,train
data/iam/iam_words/words\c03\c03-087a\c03-087a-02-03.png,inevitability,iam,train
data/iam/iam_words/words\a01\a01-043\a01-043-07-02.png,tasks,iam,train
data/iam/iam_words/words\c03\c03-016b\c03-016b-09-00.png,his,iam,train
data/iam/iam_words/words\b01\b01-127\b01-127-08-05.png,more,iam,train
data/iam/iam_words/words\c06\c06-128\c06-128-00-02.png,March,iam,train
data/iam/iam_words/words\c04\c04-004\c04-004-03-01.png,given,iam,train
data/iam/iam_words/words\b04\b04-140\b04-140-04-04.png,years,iam,train
data/iam/iam_words/words\d01\d01-024\d01-024-06-00.png,of,iam,train
data/iam/iam_words/words\c03\c03-081c\c03-081c-01-03.png,Irene,iam,train
data/iam/iam_words/words\c03\c03-007a\c03-007a-01-07.png,of,iam,train
data/iam/iam_words/words\a01\a01-020u\a01-020u-01-03.png,despite,iam,train
data/iam/iam_words/words\e01\e01-055\e01-055-00-00.png,One,iam,train
data/iam/iam_words/words\c03\c03-021c\c03-021c-01-05.png,is,iam,train
data/iam/iam_words/words\a01\a01-003u\a01-003u-00-04.png,some,iam,train
data/iam/iam_words/words\b05\b05-074\b05-074-08-05.png,me,iam,train
data/iam/iam_words/words\a05\a05-004\a05-004-04-04.png,levels,iam,train
data/synthetic/images/synth_00742.png,Cap. Omeprazole 20mg OD ac,synthetic,train
data/iam/iam_words/words\b04\b04-004\b04-004-04-00.png,Belgium,iam,train
data/iam/iam_words/words\a01\a01-026x\a01-026x-01-03.png,last,iam,train
data/iam/iam_words/words\a06\a06-044\a06-044-01-10.png,any,iam,train
data/iam/iam_words/words\a06\a06-070\a06-070-03-04.png,with,iam,train
data/iam/iam_words/words\d06\d06-096\d06-096-02-05.png,find,iam,train
data/iam/iam_words/words\d06\d06-086\d06-086-09-03.png,then,iam,train
data/iam/iam_words/words\c06\c06-083\c06-083-05-05.png,seasonal,iam,train
data/iam/iam_words/words\a01\a01-043x\a01-043x-03-01.png,has,iam,train
data/iam/iam_words/words\a03\a03-080\a03-080-01-04.png,that,iam,train
data/iam/iam_words/words\e07\e07-061\e07-061-10-01.png,vines,iam,train
data/iam/iam_words/words\a04\a04-099\a04-099-01-04.png,of,iam,train
data/iam/iam_words/words\c03\c03-007c\c03-007c-06-04.png,to,iam,train
data/iam/iam_words/words\e04\e04-000\e04-000-01-01.png,man,iam,train
data/iam/iam_words/words\d05\d05-021\d05-021-07-05.png,Authorized,iam,train
data/iam/iam_words/words\a03\a03-034\a03-034-03-02.png,party,iam,train
data/iam/iam_words/words\a05\a05-022\a05-022-02-03.png,to,iam,train
data/iam/iam_words/words\a04\a04-054\a04-054-04-01.png,to,iam,train
data/iam/iam_words/words\a01\a01-113u\a01-113u-01-02.png,wholly,iam,train
data/iam/iam_words/words\d01\d01-024\d01-024-05-00.png,revised,iam,train
data/iam/iam_words/words\a05\a05-017\a05-017-06-01.png,agree,iam,train
data/iam/iam_words/words\c06\c06-111\c06-111-05-01.png,subject,iam,train
data/iam/iam_words/words\e04\e04-083\e04-083-05-07.png,whilst,iam,train
data/iam/iam_words/words\c04\c04-105\c04-105-00-01.png,boy,iam,train
data/iam/iam_words/words\a06\a06-044\a06-044-06-00.png,to,iam,train
data/iam/iam_words/words\a01\a01-053u\a01-053u-08-04.png,Weaver's,iam,train
data/iam/iam_words/words\a04\a04-031\a04-031-05-05.png,for,iam,train
data/iam/iam_words/words\e02\e02-074\e02-074-10-04.png,cleared,iam,train
data/iam/iam_words/words\d04\d04-028\d04-028-02-01.png,in,iam,train
data/iam/iam_words/words\d01\d01-016\d01-016-02-11.png,which,iam,train
data/iam/iam_words/words\e01\e01-062\e01-062-01-06.png,and,iam,train
data/iam/iam_words/words\c06\c06-111\c06-111-02-03.png,not,iam,train
data/iam/iam_words/words\d06\d06-100\d06-100-00-04.png,with,iam,train
data/iam/iam_words/words\b04\b04-169\b04-169-06-09.png,15,iam,train
data/iam/iam_words/words\c03\c03-087e\c03-087e-07-03.png,way,iam,train
data/iam/iam_words/words\d04\d04-028\d04-028-02-10.png,security,iam,train
data/iam/iam_words/words\c06\c06-083\c06-083-00-08.png,of,iam,train
data/iam/iam_words/words\c03\c03-084a\c03-084a-03-09.png,of,iam,train
data/iam/iam_words/words\a03\a03-023\a03-023-06-04.png,firmly,iam,train
data/iam/iam_words/words\b06\b06-110\b06-110-01-06.png,who,iam,train
data/iam/iam_words/words\d07\d07-102\d07-102-06-08.png,which,iam,train
data/iam/iam_words/words\d06\d06-008\d06-008-09-01.png,its,iam,train
data/iam/iam_words/words\e01\e01-055\e01-055-01-02.png,over-embellished,iam,train
data/iam/iam_words/words\d07\d07-102\d07-102-02-07.png,three,iam,train
data/iam/iam_words/words\c02\c02-078\c02-078-00-07.png,and,iam,train
data/iam/iam_words/words\c03\c03-007c\c03-007c-07-02.png,seen,iam,train
data/iam/iam_words/words\c04\c04-098\c04-098-00-08.png,GERMANY'S,iam,train
data/synthetic/images/synth_00785.png,Syp. Paracetamol 120mg/5ml TID,synthetic,train
data/iam/iam_words/words\e04\e04-086\e04-086-00-03.png,the,iam,train
data/iam/iam_words/words\b05\b05-058\b05-058-04-10.png,Jews,iam,train
data/synthetic/images/synth_00442.png,Cap. Amoxicillin 500mg TID x 5d,synthetic,train
data/iam/iam_words/words\c03\c03-094c\c03-094c-01-06.png,wife,iam,train
data/iam/iam_words/words\a04\a04-039\a04-039-05-00.png,Schaerf,iam,train
data/iam/iam_words/words\a02\a02-027\a02-027-05-10.png,Nkrumah,iam,train
data/iam/iam_words/words\e04\e04-038\e04-038-02-06.png,or,iam,train
data/synthetic/images/synth_00651.png,Syp. Amoxicillin 250mg/5ml TID,synthetic,train
data/iam/iam_words/words\d06\d06-020\d06-020-04-06.png,us,iam,train
data/iam/iam_words/words\d06\d06-030\d06-030-02-03.png,Many,iam,train
data/iam/iam_words/words\d06\d06-000\d06-000-00-01.png,the,iam,train
data/synthetic/images/synth_00380.png,Tab. Aspirin 75mg OD pc,synthetic,train
data/iam/iam_words/words\b01\b01-062\b01-062-07-04.png,The,iam,train
data/iam/iam_words/words\b06\b06-008\b06-008-04-01.png,variety,iam,train
data/iam/iam_words/words\c03\c03-096f\c03-096f-08-01.png,of,iam,train
data/iam/iam_words/words\b01\b01-049\b01-049-03-01.png,to,iam,train
data/iam/iam_words/words\c03\c03-000c\c03-000c-02-06.png,produced,iam,train
data/iam/iam_words/words\b04\b04-154\b04-154-07-06.png,answer,iam,train
data/iam/iam_words/words\c04\c04-023\c04-023-02-07.png,is,iam,train
data/iam/iam_words/words\b01\b01-136\b01-136-06-03.png,or,iam,train
data/iam/iam_words/words\d06\d06-008\d06-008-07-07.png,face,iam,train
data/iam/iam_words/words\b06\b06-036\b06-036-00-04.png,being,iam,train
data/iam/iam_words/words\b01\b01-089\b01-089-04-01.png,that,iam,train
data/iam/iam_words/words\a06\a06-044\a06-044-02-06.png,many,iam,train
data/iam/iam_words/words\b04\b04-107\b04-107-08-00.png,politicians,iam,train
data/iam/iam_words/words\d04\d04-037\d04-037-02-02.png,my,iam,train
data/iam/iam_words/words\d04\d04-086\d04-086-00-09.png,knots,iam,train
data/iam/iam_words/words\b01\b01-009\b01-009-00-00.png,The,iam,train
data/iam/iam_words/words\a05\a05-058\a05-058-05-04.png,to,iam,train
data/iam/iam_words/words\b01\b01-122\b01-122-00-00.png,It,iam,train
data/iam/iam_words/words\e06\e06-006\e06-006-08-00.png,to,iam,train
data/iam/iam_words/words\e02\e02-025\e02-025-03-03.png,taper,iam,train
data/iam/iam_words/words\c03\c03-084e\c03-084e-03-04.png,play,iam,train
data/iam/iam_words/words\a01\a01-020u\a01-020u-04-02.png,These,iam,train
data/iam/iam_words/words\a05\a05-121\a05-121-08-04.png,also,iam,train
data/iam/iam_words/words\c04\c04-080\c04-080-04-01.png,Mr.,iam,train
data/synthetic/images/synth_00616.png,Tab. Azithromycin 500mg OD x 3d,synthetic,train
data/iam/iam_words/words\a06\a06-152\a06-152-03-00.png,West,iam,train
data/iam/iam_words/words\b05\b05-038\b05-038-04-04.png,specialising,iam,train
data/iam/iam_words/words\b01\b01-053\b01-053-06-05.png,currency,iam,train
data/iam/iam_words/words\b06\b06-097\b06-097-04-04.png,techs,iam,train
data/iam/iam_words/words\a02\a02-120\a02-120-08-00.png,Commissioner,iam,train
data/iam/iam_words/words\a02\a02-078\a02-078-06-05.png,1959,iam,train
data/iam/iam_words/words\e06\e06-053\e06-053-04-06.png,wave,iam,train
data/iam/iam_words/words\c02\c02-049\c02-049-05-00.png,worst,iam,train
data/iam/iam_words/words\a06\a06-141\a06-141-06-00.png,generals,iam,train
data/iam/iam_words/words\a05\a05-058\a05-058-07-00.png,tests,iam,train
data/iam/iam_words/words\d06\d06-100\d06-100-02-05.png,to,iam,train
data/iam/iam_words/words\a02\a02-012\a02-012-04-00.png,his,iam,train
data/iam/iam_words/words\a05\a05-116\a05-116-04-05.png,elephant,iam,train
data/iam/iam_words/words\b06\b06-042\b06-042-08-04.png,the,iam,train
data/iam/iam_words/words\a03\a03-043\a03-043-06-07.png,Many,iam,train
data/iam/iam_words/words\c04\c04-023\c04-023-00-00.png,He,iam,train
data/iam/iam_words/words\e06\e06-041\e06-041-06-01.png,of,iam,train
data/iam/iam_words/words\c04\c04-023\c04-023-02-03.png,the,iam,train
data/iam/iam_words/words\a01\a01-030\a01-030-07-05.png,conference,iam,train
data/iam/iam_words/words\a02\a02-024\a02-024-03-10.png,hours,iam,train
data/iam/iam_words/words\b06\b06-097\b06-097-02-06.png,up,iam,train
data/iam/iam_words/words\e06\e06-053\e06-053-01-03.png,this,iam,train
data/iam/iam_words/words\e04\e04-079\e04-079-01-01.png,to,iam,train
data/iam/iam_words/words\b05\b05-058\b05-058-02-10.png,only,iam,train
data/iam/iam_words/words\a05\a05-053\a05-053-07-04.png,the,iam,train
data/iam/iam_words/words\b04\b04-187\b04-187-02-07.png,says,iam,train
data/iam/iam_words/words\a05\a05-069\a05-069-00-01.png,was,iam,train
data/iam/iam_words/words\e06\e06-015\e06-015-03-03.png,harder,iam,train
data/iam/iam_words/words\c03\c03-084a\c03-084a-02-03.png,without,iam,train
data/iam/iam_words/words\c04\c04-098\c04-098-05-07.png,having,iam,train
data/iam/iam_words/words\c02\c02-022\c02-022-01-05.png,Church,iam,train
data/iam/iam_words/words\a04\a04-059\a04-059-01-07.png,miles,iam,train
data/iam/iam_words/words\d07\d07-082\d07-082-01-01.png,and,iam,train
data/iam/iam_words/words\b06\b06-015\b06-015-05-04.png,West,iam,train
data/iam/iam_words/words\b04\b04-195\b04-195-03-00.png,an,iam,train
data/iam/iam_words/words\c06\c06-011\c06-011-06-04.png,of,iam,train
data/iam/iam_words/words\a01\a01-053u\a01-053u-00-04.png,Mr.,iam,train
data/iam/iam_words/words\a03\a03-030\a03-030-00-04.png,will,iam,train
data/iam/iam_words/words\c02\c02-030\c02-030-03-07.png,people,iam,train
data/iam/iam_words/words\b01\b01-027\b01-027-00-02.png,and,iam,train
data/iam/iam_words/words\b04\b04-195\b04-195-00-02.png,be,iam,train
data/synthetic/images/synth_00947.png,Tab. Azithromycin 500mg OD x 3d,synthetic,train
data/iam/iam_words/words\c02\c02-022\c02-022-00-04.png,up,iam,train
data/iam/iam_words/words\a01\a01-063u\a01-063u-07-06.png,officials,iam,train
data/iam/iam_words/words\a03\a03-054\a03-054-10-04.png,floor,iam,train
data/iam/iam_words/words\d03\d03-112\d03-112-03-06.png,paradise,iam,train
data/iam/iam_words/words\d07\d07-082\d07-082-07-06.png,is,iam,train
data/iam/iam_words/words\d05\d05-008\d05-008-04-02.png,grown,iam,train
data/iam/iam_words/words\a06\a06-124\a06-124-04-05.png,money,iam,train
data/iam/iam_words/words\e07\e07-000\e07-000-03-03.png,are,iam,train
data/iam/iam_words/words\b01\b01-049\b01-049-00-03.png,stayed,iam,train
data/iam/iam_words/words\e07\e07-061\e07-061-06-00.png,Because,iam,train
data/iam/iam_words/words\b02\b02-045\b02-045-00-05.png,in,iam,train
data/iam/iam_words/words\d06\d06-091\d06-091-00-06.png,argue,iam,train
data/iam/iam_words/words\b04\b04-040\b04-040-04-08.png,of,iam,train
data/iam/iam_words/words\b04\b04-081\b04-081-06-00.png,go,iam,train
data/iam/iam_words/words\c03\c03-021d\c03-021d-09-06.png,love,iam,train
data/iam/iam_words/words\a04\a04-039\a04-039-01-06.png,weekend,iam,train
data/iam/iam_words/words\a01\a01-007\a01-007-03-08.png,it,iam,train
data/iam/iam_words/words\a04\a04-047\a04-047-08-01.png,the,iam,train
data/iam/iam_words/words\e07\e07-000\e07-000-04-07.png,rank,iam,train
data/iam/iam_words/words\e04\e04-095\e04-095-06-09.png,snugly,iam,train
data/iam/iam_words/words\c04\c04-000\c04-000-01-02.png,burst,iam,train
data/iam/iam_words/words\b04\b04-060\b04-060-01-00.png,will,iam,train
data/iam/iam_words/words\a02\a02-017\a02-017-04-05.png,next,iam,train
data/iam/iam_words/words\c03\c03-094c\c03-094c-05-00.png,grotesque,iam,train
data/iam/iam_words/words\a02\a02-032\a02-032-06-06.png,strikers,iam,train
data/iam/iam_words/words\b04\b04-060\b04-060-02-03.png,the,iam,train
data/iam/iam_words/words\b01\b01-084\b01-084-00-02.png,the,iam,train
data/iam/iam_words/words\b05\b05-067\b05-067-04-02.png,apex,iam,train
data/iam/iam_words/words\b05\b05-062\b05-062-00-00.png,He,iam,train
data/iam/iam_words/words\b01\b01-027\b01-027-06-02.png,pleasanter,iam,train
data/iam/iam_words/words\a01\a01-007\a01-007-00-04.png,Labour,iam,train
data/iam/iam_words/words\b01\b01-018\b01-018-03-01.png,statesmen,iam,train
data/iam/iam_words/words\b01\b01-073\b01-073-07-02.png,dignified,iam,train
data/iam/iam_words/words\e04\e04-019\e04-019-00-04.png,backward,iam,train
data/iam/iam_words/words\c03\c03-084a\c03-084a-05-06.png,Ferris,iam,train
data/iam/iam_words/words\a02\a02-120\a02-120-04-05.png,night,iam,train
data/iam/iam_words/words\b01\b01-057\b01-057-08-04.png,our,iam,train
data/iam/iam_words/words\c03\c03-007f\c03-007f-08-02.png,of,iam,train
data/iam/iam_words/words\a06\a06-000\a06-000-01-01.png,catch,iam,train
data/iam/iam_words/words\d06\d06-041\d06-041-05-01.png,is,iam,train
data/iam/iam_words/words\b04\b04-187\b04-187-00-03.png,at,iam,train
data/iam/iam_words/words\b05\b05-098\b05-098-04-01.png,interest,iam,train
data/iam/iam_words/words\a03\a03-080\a03-080-03-02.png,stages,iam,train
data/iam/iam_words/words\b04\b04-116\b04-116-07-01.png,from,iam,train
data/iam/iam_words/words\d04\d04-032\d04-032-01-04.png,two,iam,train
data/iam/iam_words/words\a03\a03-073\a03-073-03-02.png,and,iam,train
data/iam/iam_words/words\a05\a05-084\a05-084-01-05.png,procedure,iam,train
data/iam/iam_words/words\a05\a05-069\a05-069-08-00.png,interference,iam,train
data/iam/iam_words/words\e01\e01-050\e01-050-01-06.png,the,iam,train
data/iam/iam_words/words\b04\b04-075\b04-075-03-11.png,view,iam,train
data/iam/iam_words/words\a06\a06-014\a06-014-00-00.png,They,iam,train
data/iam/iam_words/words\e01\e01-107\e01-107-08-04.png,can,iam,train
data/iam/iam_words/words\a05\a05-013\a05-013-02-01.png,that,iam,train
data/iam/iam_words/words\c03\c03-096c\c03-096c-05-08.png,their,iam,train
data/iam/iam_words/words\a06\a06-147\a06-147-04-07.png,best,iam,train
data/synthetic/images/synth_00065.png,Syp. Paracetamol 120mg/5ml TID,synthetic,train
data/iam/iam_words/words\a01\a01-014u\a01-014u-07-04.png,talks,iam,train
data/iam/iam_words/words\b02\b02-045\b02-045-06-03.png,the,iam,train
data/iam/iam_words/words\e01\e01-018\e01-018-02-05.png,laced,iam,train
data/iam/iam_words/words\e01\e01-025\e01-025-06-01.png,craft,iam,train
data/iam/iam_words/words\c04\c04-156\c04-156-02-01.png,James,iam,train
data/iam/iam_words/words\a01\a01-053\a01-053-09-05.png,con-,iam,train
data/iam/iam_words/words\a03\a03-027\a03-027-00-05.png,to,iam,train
data/iam/iam_words/words\a04\a04-089\a04-089-02-02.png,of,iam,train
data/iam/iam_words/words\e04\e04-011\e04-011-07-06.png,complete,iam,train
data/iam/iam_words/words\c03\c03-081a\c03-081a-08-05.png,gives,iam,train
data/iam/iam_words/words\b03\b03-098\b03-098-05-01.png,the,iam,train
data/iam/iam_words/words\a04\a04-031\a04-031-05-00.png,followed,iam,train
data/iam/iam_words/words\c03\c03-007a\c03-007a-07-02.png,of,iam,train
data/iam/iam_words/words\a03\a03-014\a03-014-01-05.png,arrived,iam,train
data/iam/iam_words/words\c02\c02-078\c02-078-02-07.png,of,iam,train
data/iam/iam_words/words\d06\d06-076\d06-076-00-09.png,may,iam,train
data/iam/iam_words/words\b04\b04-034\b04-034-01-09.png,beyond,iam,train
data/iam/iam_words/words\e04\e04-109\e04-109-00-02.png,by,iam,train
data/iam/iam_words/words\b03\b03-109\b03-109-04-09.png,British,iam,train
data/iam/iam_words/words\b06\b06-097\b06-097-07-05.png,age,iam,train
data/iam/iam_words/words\a01\a01-132\a01-132-04-00.png,the,iam,train
data/iam/iam_words/words\a05\a05-116\a05-116-04-02.png,He,iam,train
data/iam/iam_words/words\b04\b04-202\b04-202-02-02.png,to,iam,train
data/iam/iam_words/words\b05\b05-074\b05-074-08-08.png,so,iam,train
data/iam/iam_words/words\a01\a01-043u\a01-043u-02-03.png,of,iam,train
data/iam/iam_words/words\a04\a04-054\a04-054-03-07.png,for,iam,train
data/iam/iam_words/words\c03\c03-021b\c03-021b-06-04.png,sympathy,iam,train
data/iam/iam_words/words\e07\e07-012\e07-012-02-05.png,by,iam,train
data/iam/iam_words/words\a01\a01-107\a01-107-00-04.png,comprehensive,iam,train
data/iam/iam_words/words\b01\b01-094\b01-094-01-04.png,The,iam,train
data/iam/iam_words/words\a03\a03-030\a03-030-08-00.png,ments,iam,train
data/iam/iam_words/words\d06\d06-003\d06-003-01-05.png,very,iam,train
data/iam/iam_words/words\a03\a03-071\a03-071-03-08.png,project,iam,train
data/iam/iam_words/words\a02\a02-050\a02-050-01-08.png,have,iam,train
data/iam/iam_words/words\b02\b02-105\b02-105-05-00.png,when,iam,train
data/iam/iam_words/words\b01\b01-018\b01-018-08-02.png,white,iam,train
data/iam/iam_words/words\a01\a01-096u\a01-096u-07-06.png,the,iam,train
data/iam/iam_words/words\b04\b04-202\b04-202-06-00.png,these,iam,train
data/iam/iam_words/words\b04\b04-034\b04-034-02-07.png,who,iam,train
data/iam/iam_words/words\b04\b04-195\b04-195-05-01.png,new,iam,train
data/iam/iam_words/words\e01\e01-102\e01-102-07-05.png,from,iam,train
data/iam/iam_words/words\d06\d06-020\d06-020-07-06.png,our,iam,train
data/iam/iam_words/words\b02\b02-035\b02-035-00-01.png,this,iam,train
data/iam/iam_words/words\e01\e01-113\e01-113-05-03.png,of,iam,train
data/iam/iam_words/words\a01\a01-113u\a01-113u-10-02.png,the,iam,train
data/iam/iam_words/words\a01\a01-132x\a01-132x-00-06.png,development,iam,train
data/iam/iam_words/words\a04\a04-027\a04-027-05-10.png,situation,iam,train
data/iam/iam_words/words\a04\a04-089\a04-089-00-05.png,the,iam,train
data/iam/iam_words/words\b06\b06-049\b06-049-03-05.png,chosen,iam,train
data/iam/iam_words/words\b05\b05-058\b05-058-04-11.png,was,iam,train
data/iam/iam_words/words\d07\d07-100\d07-100-06-04.png,that,iam,train
data/iam/iam_words/words\c03\c03-094d\c03-094d-03-03.png,the,iam,train
data/iam/iam_words/words\a03\a03-059\a03-059-04-08.png,is,iam,train
data/iam/iam_words/words\a01\a01-072x\a01-072x-03-03.png,it,iam,train
data/iam/iam_words/words\a04\a04-103\a04-103-08-02.png,by,iam,train
data/iam/iam_words/words\a01\a01-043u\a01-043u-08-04.png,housing,iam,train
data/iam/iam_words/words\e01\e01-050\e01-050-00-03.png,century,iam,train
data/iam/iam_words/words\a03\a03-066\a03-066-05-05.png,corresponding,iam,train
data/iam/iam_words/words\d05\d05-030\d05-030-06-07.png,who,iam,train
data/iam/iam_words/words\d06\d06-107\d06-107-05-04.png,their,iam,train
data/iam/iam_words/words\a03\a03-071\a03-071-02-07.png,information,iam,train
data/iam/iam_words/words\c04\c04-028\c04-028-00-01.png,Ann,iam,train
data/iam/iam_words/words\a01\a01-053x\a01-053x-05-02.png,he,iam,train
data/iam/iam_words/words\c03\c03-081a\c03-081a-07-00.png,Landen,iam,train
data/synthetic/images/synth_00791.png,Tab. Montelukast 10mg OD HS,synthetic,train
data/iam/iam_words/words\a01\a01-038x\a01-038x-04-00.png,called,iam,train
data/iam/iam_words/words\c04\c04-004\c04-004-01-06.png,he,iam,train
data/iam/iam_words/words\b01\b01-027\b01-027-05-00.png,success,iam,train
data/iam/iam_words/words\b06\b06-059\b06-059-02-00.png,clearly,iam,train
data/iam/iam_words/words\c03\c03-007b\c03-007b-05-08.png,the,iam,train
data/iam/iam_words/words\a04\a04-092\a04-092-00-03.png,kinds,iam,train
data/iam/iam_words/words\a04\a04-069\a04-069-07-06.png,of,iam,train
data/iam/iam_words/words\e04\e04-124\e04-124-02-06.png,the,iam,train
data/iam/iam_words/words\d06\d06-050\d06-050-04-04.png,the,iam,train
data/iam/iam_words/words\c03\c03-081a\c03-081a-09-03.png,restrained,iam,train
data/iam/iam_words/words\c03\c03-000a\c03-000a-03-02.png,by,iam,train
data/iam/iam_words/words\b02\b02-045\b02-045-06-06.png,responding,iam,train
data/iam/iam_words/words\c04\c04-056\c04-056-01-06.png,holes,iam,train
data/iam/iam_words/words\e06\e06-049\e06-049-02-02.png,flat,iam,train
